transaction_id,customer_id,transaction_amount,transaction_date,store_channel,customer_name_token,card_number_token,email_masked,phone_masked,age_band,spend_category
TXN000001,CUST0139,4801.91,2026-08-02,E-Commerce,TKN_b014fe4c5b8176d6,TKN_e2d8d6a8b948fbeb,k*****@example.net,******2188,40-50,Medium (1000-5000)
TXN000002,CUST0147,3394.04,2026-05-02,POS-Store,TKN_2a399f1cf39ed793,TKN_235c7b286f2bf173,d*****@example.net,******4746,25-30,Medium (1000-5000)
TXN000003,CUST0063,198.04,2026-03-16,POS-Store,TKN_10b3648b57cc6d02,TKN_5157d1d8dfa86e2a,n*************@example.com,********7051,18-25,Low (<1000)
TXN000004,CUST0105,872.0,2026-07-10,E-Commerce,TKN_1049cfa9de088ced,TKN_da57355f76cbf389,k*********@example.org,******2637,25-30,Low (<1000)
TXN000005,CUST0025,3831.58,2026-06-09,E-Commerce,TKN_424e8511ed9109eb,TKN_b10146516c5c2d7a,t**********@example.com,********9958,30-40,Medium (1000-5000)
TXN000006,CUST0169,970.44,2026-06-08,POS-Store,TKN_ae2daf7dbc4d267c,TKN_ec1182dd3aae3771,i*******@example.net,******5750,60+,Low (<1000)
TXN000007,CUST0091,8610.55,2026-06-29,POS-Store,TKN_0d4cf00f6d4ea984,TKN_374c5f24051bdf70,k******@example.com,******1388,30-40,High (>5000)
TXN000008,CUST0106,224.05,2026-08-01,POS-Store,TKN_5bd354b37d231ae1,TKN_6036a9380809fbf7,c***********@example.net,*****5846,18-25,Low (<1000)
TXN000009,CUST0014,547.99,2026-04-04,E-Commerce,TKN_38807ce4f881a34e,TKN_35b2b9255ad77f98,a*********@example.org,********5349,40-50,Low (<1000)
TXN000010,CUST0016,2164.63,2026-03-13,POS-Store,TKN_c409067cc6af772a,TKN_a19468e5dca29c81,u********@example.net,******6971,60+,Medium (1000-5000)
TXN000011,CUST0087,1557.84,2026-06-09,E-Commerce,TKN_fec91b5161340ec2,TKN_1d2b933721a57566,d********@example.org,******6418,40-50,Medium (1000-5000)
TXN000012,CUST0064,397.68,2026-05-05,E-Commerce,TKN_0f45a74fd36c2be4,TKN_e4655ed7136a320a,s***********@example.net,********1388,40-50,Low (<1000)
TXN000013,CUST0049,4139.92,2026-07-13,POS-Store,TKN_e2abb68ad7e82af5,TKN_3f75801a8caa7b7c,p*********@example.com,********1554,60+,Medium (1000-5000)
TXN000014,CUST0036,538.01,2026-02-26,POS-Store,TKN_98e523159fc2da14,TKN_810eae1b52ecf127,s**********@example.org,******4160,40-50,Low (<1000)
TXN000015,CUST0047,1185.76,2026-03-25,POS-Store,TKN_40b214c4d7542cdc,TKN_2bdef6608dd0f9ca,u************@example.net,********3063,40-50,Medium (1000-5000)
TXN000016,CUST0119,1681.93,2026-06-27,E-Commerce,TKN_386ab2df4172a913,TKN_8f8014d281b8ebcb,w******@example.net,******2226,18-25,Medium (1000-5000)
TXN000017,CUST0020,950.49,2026-07-03,POS-Store,TKN_5d9100377e1e5ff0,TKN_0e4ee271d9a0b5aa,b**************@example.org,******6478,25-30,Low (<1000)
