product_id,product_name,category,subcategory,cost_price
1,Rem Audio Ele1,Electronics,Audio,14369.35
2,Rerum Accessories Ele2,Electronics,Accessories,16256.54
3,Dolorem Laptops Ele3,Electronics,Laptops,696.54
4,Deleniti Laptops Ele4,Electronics,Laptops,9705.34
5,Suscipit Mobiles Ele5,Electronics,Mobiles,6544.23
6,Quam Audio Ele6,Electronics,Audio,15316.34
7,Animi Audio Ele7,Electronics,Audio,3436.42
8,Rem Mobiles Ele8,Electronics,Mobiles,22472.04
9,Dignissimos Audio Ele9,Electronics,Audio,20272.3
10,Aspernatur Accessories Ele10,Electronics,Accessories,17753.04
11,Doloremque Accessories Ele11,Electronics,Accessories,21291.48
12,Facilis Laptops Ele12,Electronics,Laptops,12743.46
13,Ducimus Mobiles Ele13,Electronics,Mobiles,19812.04
14,Quas Laptops Ele14,Electronics,Laptops,705.79
15,Necessitatibus Accessories Ele15,Electronics,Accessories,24576.15
16,Sapiente Laptops Ele16,Electronics,Laptops,2201.08
17,Recusandae Accessories Ele17,Electronics,Accessories,17937.49
18,Tempore Audio Ele18,Electronics,Audio,19240.66
19,Ad Mobiles Ele19,Electronics,Mobiles,7959.84
20,Ut Mobiles Ele20,Electronics,Mobiles,17018.72
21,Id Accessories Ele21,Electronics,Accessories,20734.89
22,Blanditiis Laptops Ele22,Electronics,Laptops,3269.37
23,Esse Mobiles Ele23,Electronics,Mobiles,12976.65
24,Occaecati Accessories Ele24,Electronics,Accessories,8100.39
25,Sequi Laptops Ele25,Electronics,Laptops,23525.56
26,Optio Accessories Ele26,Electronics,Accessories,6302.6
27,Perspiciatis Accessories Ele27,Electronics,Accessories,7605.47
28,Dolores Mobiles Ele28,Electronics,Mobiles,4257.47
29,Est Laptops Ele29,Electronics,Laptops,15630.76
30,Neque Accessories Ele30,Electronics,Accessories,14112.27
31,Sapiente Mobiles Ele31,Electronics,Mobiles,23716.24
32,Dicta Accessories Ele32,Electronics,Accessories,19185.63
33,Reprehenderit Audio Ele33,Electronics,Audio,805.63
34,Ducimus Accessories Ele34,Electronics,Accessories,7587.25
35,Soluta Laptops Ele35,Electronics,Laptops,17140.52
36,Unde Accessories Ele36,Electronics,Accessories,17230.91
37,Quaerat Laptops Ele37,Electronics,Laptops,12132.07
38,Fuga Women Clo38,Clothing,Women,3634.53
39,Doloremque Kids Clo39,Clothing,Kids,21526.4
40,Vitae Footwear Clo40,Clothing,Footwear,9294.98
41,Laboriosam Men Clo41,Clothing,Men,11688.49
42,Odit Kids Clo42,Clothing,Kids,3564.9
43,Saepe Men Clo43,Clothing,Men,9634.54
44,Rerum Footwear Clo44,Clothing,Footwear,21639.42
45,Atque Women Clo45,Clothing,Women,23347.1
46,Eum Kids Clo46,Clothing,Kids,4025.59
47,Minus Footwear Clo47,Clothing,Footwear,7748.09
48,Molestiae Men Clo48,Clothing,Men,9861.39
49,Delectus Footwear Clo49,Clothing,Footwear,5417.85
50,Corrupti Kids Clo50,Clothing,Kids,7069.84
51,Ad Footwear Clo51,Clothing,Footwear,254.03
52,Eligendi Men Clo52,Clothing,Men,22067.27
53,Quasi Kids Clo53,Clothing,Kids,9180.14
54,Quae Footwear Clo54,Clothing,Footwear,14067.33
55,Vitae Kids Clo55,Clothing,Kids,1884.62
56,Nihil Footwear Clo56,Clothing,Footwear,7029.03
57,Distinctio Men Clo57,Clothing,Men,2462.2
58,Sequi Kids Clo58,Clothing,Kids,8510.18
59,Consequatur Kids Clo59,Clothing,Kids,5016.49
60,Dolorum Footwear Clo60,Clothing,Footwear,1180.32
61,Pariatur Women Clo61,Clothing,Women,20108.95
62,Sint Footwear Clo62,Clothing,Footwear,22333.64
63,Sapiente Women Clo63,Clothing,Women,15346.05
64,Amet Women Clo64,Clothing,Women,15431.69
65,Quibusdam Kids Clo65,Clothing,Kids,12707.51
66,Provident Footwear Clo66,Clothing,Footwear,7529.77
67,Cumque Men Clo67,Clothing,Men,16861.47
68,Consectetur Footwear Clo68,Clothing,Footwear,19929.03
69,Perspiciatis Men Clo69,Clothing,Men,6674.98
70,Unde Women Clo70,Clothing,Women,14608.91
71,Delectus Women Clo71,Clothing,Women,18043.51
72,Sed Footwear Clo72,Clothing,Footwear,17034.14
73,Quis Men Clo73,Clothing,Men,17528.0
74,A Women Clo74,Clothing,Women,7876.63
75,Veritatis Furniture Hom75,Home,Furniture,5137.1
76,Totam Cleaning Hom76,Home,Cleaning,18409.14
77,Non Kitchen Hom77,Home,Kitchen,12991.15
78,Quasi Decor Hom78,Home,Decor,11985.36
79,Nihil Cleaning Hom79,Home,Cleaning,4370.9
80,Maxime Decor Hom80,Home,Decor,16912.92
81,Aperiam Decor Hom81,Home,Decor,4846.99
82,Voluptatem Furniture Hom82,Home,Furniture,7497.55
83,Quia Decor Hom83,Home,Decor,17637.28
84,Nobis Cleaning Hom84,Home,Cleaning,8752.64
85,Eum Decor Hom85,Home,Decor,14358.25
86,Perspiciatis Cleaning Hom86,Home,Cleaning,9893.58
87,Modi Decor Hom87,Home,Decor,20125.17
88,Laudantium Decor Hom88,Home,Decor,23885.08
89,Repudiandae Kitchen Hom89,Home,Kitchen,11087.28
90,Voluptatem Decor Hom90,Home,Decor,5388.97
91,Repellat Decor Hom91,Home,Decor,17419.47
92,Consequuntur Furniture Hom92,Home,Furniture,18535.23
93,Nisi Furniture Hom93,Home,Furniture,16762.36
94,Deleniti Furniture Hom94,Home,Furniture,1359.65
95,Facere Cleaning Hom95,Home,Cleaning,11836.48
96,Perferendis Furniture Hom96,Home,Furniture,13781.3
97,Eveniet Furniture Hom97,Home,Furniture,23379.05
98,Blanditiis Cleaning Hom98,Home,Cleaning,5026.43
99,Id Decor Hom99,Home,Decor,16165.15
100,Sapiente Kitchen Hom100,Home,Kitchen,5843.89
101,Quisquam Kitchen Hom101,Home,Kitchen,4417.87
102,Nemo Furniture Hom102,Home,Furniture,956.68
103,Facere Cleaning Hom103,Home,Cleaning,4698.48
104,Eaque Decor Hom104,Home,Decor,281.22
105,Ab Kitchen Hom105,Home,Kitchen,8409.3
106,Voluptatum Cleaning Hom106,Home,Cleaning,13605.35
107,Ab Cleaning Hom107,Home,Cleaning,3398.29
108,Repellat Cleaning Hom108,Home,Cleaning,20229.91
109,Quasi Decor Hom109,Home,Decor,11499.92
110,Cumque Decor Hom110,Home,Decor,401.4
111,Quasi Decor Hom111,Home,Decor,14216.14
112,Ab Non-Fiction Boo112,Books,Non-Fiction,21410.86
113,Minus Comics Boo113,Books,Comics,12906.25
114,Ullam Fiction Boo114,Books,Fiction,2429.86
115,Enim Non-Fiction Boo115,Books,Non-Fiction,23398.84
116,Voluptas Fiction Boo116,Books,Fiction,5926.26
117,Ipsam Academic Boo117,Books,Academic,7583.55
118,Nemo Fiction Boo118,Books,Fiction,9020.82
119,Magni Non-Fiction Boo119,Books,Non-Fiction,2999.71
120,Corrupti Academic Boo120,Books,Academic,17167.54
121,Dolor Academic Boo121,Books,Academic,15985.85
122,Nobis Academic Boo122,Books,Academic,5560.19
123,Totam Non-Fiction Boo123,Books,Non-Fiction,11401.72
124,Reprehenderit Academic Boo124,Books,Academic,13753.4
125,Explicabo Comics Boo125,Books,Comics,20059.78
126,Facilis Non-Fiction Boo126,Books,Non-Fiction,17024.53
127,Quidem Fiction Boo127,Books,Fiction,13227.92
128,Nisi Academic Boo128,Books,Academic,14126.01
129,Recusandae Fiction Boo129,Books,Fiction,22577.06
130,Maiores Non-Fiction Boo130,Books,Non-Fiction,3788.82
131,Similique Academic Boo131,Books,Academic,11073.92
132,Harum Non-Fiction Boo132,Books,Non-Fiction,12246.26
133,Vero Comics Boo133,Books,Comics,11363.14
134,Nam Comics Boo134,Books,Comics,1490.53
135,Enim Comics Boo135,Books,Comics,7738.83
136,Neque Fiction Boo136,Books,Fiction,20420.51
137,Quod Non-Fiction Boo137,Books,Non-Fiction,1179.98
138,Quos Academic Boo138,Books,Academic,13552.03
139,Perspiciatis Fiction Boo139,Books,Fiction,1772.03
140,Dolorum Comics Boo140,Books,Comics,10251.23
141,Maxime Non-Fiction Boo141,Books,Non-Fiction,24459.42
142,Ratione Comics Boo142,Books,Comics,22288.77
143,Quos Comics Boo143,Books,Comics,22673.84
144,Perspiciatis Comics Boo144,Books,Comics,24105.4
145,Explicabo Non-Fiction Boo145,Books,Non-Fiction,8726.86
146,Inventore Non-Fiction Boo146,Books,Non-Fiction,9856.81
147,Repellat Non-Fiction Boo147,Books,Non-Fiction,5606.12
148,Laborum Fiction Boo148,Books,Fiction,24463.34
