item_id,order_id,product_id,quantity,unit_price,discount_percent
5578,1883,47,6,11445.54,10
6087,2053,54,5,20408.29,20
4697,1592,46,2,5560.82,0
2201,741,131,5,17250.1,15
5266,1781,52,1,31426.9,0
46,15,139,6,2090.72,15
2294,776,102,5,1321.4,25
2332,790,77,4,17372.33,0
5332,1808,90,3,8097.16,10
4924,1670,103,5,5584.86,25
382,129,58,5,11028.93,40
1664,564,85,5,20357.98,15
6544,2200,6,6,22740.79,15
2515,850,49,1,7868.2,0
2615,883,86,4,13402.68,5
3935,1322,67,4,19901.91,30
1867,630,7,6,5068.39,5
2905,984,2,1,24772.83,40
5900,1988,37,3,18498.94,0
5271,1783,1,6,22010.59,30
833,275,111,3,18057.01,25
5518,1864,109,1,16773.01,0
5846,1969,20,1,23230.41,0
3833,1289,52,2,31080.81,5
2360,800,23,1,19382.24,0
746,247,1,2,22336.86,0
943,310,142,4,30026.75,10
2268,764,114,3,3759.81,0
1333,448,121,5,23348.01,5
4564,1548,56,3,8486.12,5
481,161,72,-1,20585.66,10
4316,1453,98,6,7622.97,25
4083,1373,106,5,19200.39,10
1086,358,46,2,6317.53,10
3941,1325,82,5,9197.21,0
1879,633,16,1,3460.63,10
3568,1196,24,4,10568.67,25
3606,1208,66,4,9938.78,0
4451,1504,101,6,6758.34,20
2358,800,130,6,5568.57,40
4367,1471,73,5,22373.71,0
6073,2046,109,6,18166.22,40
197,69,123,5,17649.74,5
3855,1296,22,1,4477.91,5
6497,2186,14,4,904.13,20
3903,1312,86,4,14461.7,25
3365,1129,100,6,7972.18,15
1502,511,107,1,4470.4,10
1645,558,70,4,17982.27,15
4841,1640,18,2,24439.55,10
1222,408,25,3,34678.79,0
2612,882,45,6,29381.06,0
2653,897,130,5,4533.92,0
2609,881,70,3,18263.98,20
5340,1811,16,1,3509.59,0
6033,2033,81,3,6303.59,0
952,314,5,3,10272.91,0
4382,1476,121,3,24540.48,25
1267,426,89,-2,13185.39,40
1878,633,14,1,910.76,40
2657,899,28,4,6767.4,15
2121,712,49,4,6917.64,0
4900,1662,115,6,36726.58,0
