region_code,order_date,daily_revenue,running_total
CENTRAL,2023-06-03,86567.87,86567.87
CENTRAL,2023-08-16,84355.01,170922.89
CENTRAL,2023-09-03,40182.81,211105.69
CENTRAL,2023-09-12,183501.44,394607.14
CENTRAL,2023-09-13,73858.51,468465.65
CENTRAL,2023-09-15,105828.54,574294.19
CENTRAL,2023-09-23,118666.06,692960.25
CENTRAL,2023-09-28,43756.18,736716.42
CENTRAL,2023-10-01,30273.41,766989.84
CENTRAL,2023-10-08,352859.17,1119849.01
CENTRAL,2023-10-10,383440.18,1503289.19
CENTRAL,2023-10-18,258149.87,1761439.06
CENTRAL,2023-10-20,181172.09,1942611.15
CENTRAL,2023-10-23,64006.13,2006617.28
CENTRAL,2023-11-05,526633.74,2533251.02
CENTRAL,2023-11-07,51802.52,2585053.54
CENTRAL,2023-11-10,49568.18,2634621.72
CENTRAL,2023-11-21,7526.55,2642148.27
CENTRAL,2023-11-23,88257.48,2730405.75
CENTRAL,2023-12-04,497995.91,3228401.66
CENTRAL,2023-12-06,40968.79,3269370.46
CENTRAL,2023-12-08,329165.26,3598535.71
CENTRAL,2023-12-12,182575.56,3781111.27
CENTRAL,2023-12-16,112272.81,3893384.08
CENTRAL,2023-12-19,90979.32,3984363.4
CENTRAL,2023-12-24,664921.01,4649284.41
CENTRAL,2023-12-25,243985.31,4893269.72
CENTRAL,2023-12-28,47188.72,4940458.44
CENTRAL,2023-12-30,549358.2,5489816.64
CENTRAL,2023-12-31,105120.39,5594937.03
CENTRAL,2024-01-11,385138.8,5980075.83
CENTRAL,2024-01-12,141441.35,6121517.18
CENTRAL,2024-01-13,128112.55,6249629.73
CENTRAL,2024-01-18,353325.45,6602955.18
CENTRAL,2024-01-20,11229.16,6614184.33
CENTRAL,2024-01-21,84444.16,6698628.49
CENTRAL,2024-01-22,16087.57,6714716.06
CENTRAL,2024-01-28,115200.36,6829916.42
CENTRAL,2024-01-30,532361.99,7362278.41
CENTRAL,2024-02-13,348988.44,7711266.85
CENTRAL,2024-02-17,287757.76,7999024.61
CENTRAL,2024-02-22,230463.46,8229488.07
CENTRAL,2024-02-28,162280.15,8391768.22
CENTRAL,2024-03-01,30214.49,8421982.71
CENTRAL,2024-03-03,44289.98,8466272.7
CENTRAL,2024-03-08,263840.5,8730113.2
CENTRAL,2024-03-09,141488.11,8871601.31
CENTRAL,2024-03-16,242842.82,9114444.12
CENTRAL,2024-03-20,41927.26,9156371.39
CENTRAL,2024-03-21,558401.08,9714772.47
CENTRAL,2024-03-22,136311.05,9851083.52
CENTRAL,2024-03-31,8219.72,9859303.25
CENTRAL,2024-04-03,224816.31,10084119.56
CENTRAL,2024-04-06,462469.94,10546589.49
CENTRAL,2024-04-08,297459.2,10844048.69
CENTRAL,2024-04-09,286686.09,11130734.78
CENTRAL,2024-04-11,71643.35,11202378.13
CENTRAL,2024-04-12,182785.43,11385163.57
CENTRAL,2024-04-22,73628.16,11458791.73
CENTRAL,2024-04-24,181485.69,11640277.42
CENTRAL,2024-04-26,179052.6,11819330.02
CENTRAL,2024-04-28,123454.16,11942784.18
CENTRAL,2024-05-01,206530.56,12149314.74
CENTRAL,2024-05-03,331852.12,12481166.86
CENTRAL,2024-05-07,109024.18,12590191.04
CENTRAL,2024-05-16,50446.42,12640637.46
CENTRAL,2024-05-26,4479.52,12645116.98
CENTRAL,2024-05-28,392873.1,13037990.08
CENTRAL,2024-05-31,128847.11,13166837.19
CENTRAL,2024-06-21,40347.01,13207184.2
CENTRAL,2024-06-22,3812.96,13210997.16
CENTRAL,2024-06-25,292574.64,13503571.81
CENTRAL,2024-06-26,90381.6,13593953.41
CENTRAL,2024-06-27,325071.09,13919024.5
CENTRAL,2024-06-30,379794.98,14298819.48
CENTRAL,2024-07-15,167343.8,14466163.27
CENTRAL,2024-07-16,51653.75,14517817.02
CENTRAL,2024-07-17,155102.62,14672919.65
CENTRAL,2024-07-20,219750.77,14892670.42
CENTRAL,2024-07-22,6129.33,14898799.75
CENTRAL,2024-07-27,145946.15,15044745.9
CENTRAL,2024-08-02,-72033.32,14972712.58
CENTRAL,2024-08-06,39074.98,15011787.56
CENTRAL,2024-08-10,202428.02,15214215.58
CENTRAL,2024-08-12,287636.84,15501852.41
CENTRAL,2024-08-13,31229.19,15533081.6
CENTRAL,2024-08-16,177786.2,15710867.8
CENTRAL,2024-08-17,134383.29,15845251.09
CENTRAL,2024-08-18,218916.88,16064167.96
CENTRAL,2024-08-20,357139.65,16421307.62
CENTRAL,2024-08-22,85471.44,16506779.06
CENTRAL,2024-08-25,240410.79,16747189.85
CENTRAL,2024-09-03,128612.76,16875802.6
CENTRAL,2024-09-09,349069.23,17224871.83
CENTRAL,2024-09-10,147073.43,17371945.26
CENTRAL,2024-09-16,286200.45,17658145.72
CENTRAL,2024-09-19,371651.79,18029797.51
CENTRAL,2024-09-23,58036.71,18087834.22
CENTRAL,2024-09-25,124642.09,18212476.31
CENTRAL,2024-09-29,-9058.64,18203417.67
CENTRAL,2024-10-01,76463.57,18279881.24
CENTRAL,2024-10-02,14963.41,18294844.65
CENTRAL,2024-10-04,127757.42,18422602.07
CENTRAL,2024-10-05,206443.96,18629046.03
CENTRAL,2024-10-06,76385.74,18705431.76
CENTRAL,2024-10-07,220770.35,18926202.11
CENTRAL,2024-10-08,96730.5,19022932.61
CENTRAL,2024-10-12,31801.5,19054734.11
CENTRAL,2024-10-14,375610.12,19430344.23
CENTRAL,2024-10-16,224454.15,19654798.39
CENTRAL,2024-10-18,14793.16,19669591.54
CENTRAL,2024-10-21,87267.21,19756858.75
CENTRAL,2024-10-22,380143.47,20137002.22
CENTRAL,2024-10-24,-1832.12,20135170.1
CENTRAL,2024-10-26,236392.02,20371562.12
CENTRAL,2024-10-31,69042.71,20440604.84
CENTRAL,2024-11-01,30575.71,20471180.55
CENTRAL,2024-11-03,251058.49,20722239.04
CENTRAL,2024-11-04,151867.68,20874106.72
CENTRAL,2024-11-06,82945.02,20957051.74
CENTRAL,2024-11-07,158881.03,21115932.77
CENTRAL,2024-11-09,258194.18,21374126.94
CENTRAL,2024-11-11,174359.49,21548486.44
CENTRAL,2024-11-12,38536.72,21587023.15
CENTRAL,2024-11-13,111979.44,21699002.59
CENTRAL,2024-11-15,192544.87,21891547.46
CENTRAL,2024-11-18,425445.76,22316993.23
CENTRAL,2024-11-19,466300.37,22783293.6
CENTRAL,2024-11-20,88863.56,22872157.16
CENTRAL,2024-11-26,440158.94,23312316.1
CENTRAL,2024-11-27,178798.45,23491114.54
CENTRAL,2024-11-30,166085.7,23657200.25
CENTRAL,2024-12-02,64885.22,23722085.46
CENTRAL,2024-12-03,273250.45,23995335.91
CENTRAL,2024-12-04,56959.28,24052295.19
CENTRAL,2024-12-07,137804.82,24190100.0
CENTRAL,2024-12-08,114382.62,24304482.62
CENTRAL,2024-12-09,33807.8,24338290.42
CENTRAL,2024-12-10,45593.0,24383883.42
CENTRAL,2024-12-15,85337.73,24469221.16
CENTRAL,2024-12-17,179865.15,24649086.31
CENTRAL,2024-12-18,171951.45,24821037.76
CENTRAL,2024-12-19,67531.51,24888569.27
CENTRAL,2024-12-23,9749.84,24898319.11
CENTRAL,2024-12-24,40665.04,24938984.15
CENTRAL,2024-12-25,197029.48,25136013.63
CENTRAL,2024-12-26,24035.39,25160049.02
CENTRAL,2024-12-27,-10094.43,25149954.59
CENTRAL,2024-12-29,240099.91,25390054.5
CENTRAL,2024-12-30,77074.7,25467129.2
CENTRAL,2025-01-02,34230.68,25501359.88
CENTRAL,2025-01-03,33223.44,25534583.32
CENTRAL,2025-01-06,209881.01,25744464.32
CENTRAL,2025-01-08,129722.67,25874186.99
CENTRAL,2025-01-09,261296.24,26135483.23
CENTRAL,2025-01-10,230067.82,26365551.05
CENTRAL,2025-01-12,65371.15,26430922.2
CENTRAL,2025-01-13,227688.74,26658610.94
CENTRAL,2025-01-14,125379.74,26783990.68
CENTRAL,2025-01-15,97279.72,26881270.4
CENTRAL,2025-01-16,297274.28,27178544.68
CENTRAL,2025-01-17,247569.87,27426114.56
CENTRAL,2025-01-18,324813.81,27750928.36
CENTRAL,2025-01-19,231773.01,27982701.37
CENTRAL,2025-01-21,141657.46,28124358.83
CENTRAL,2025-01-22,1015.44,28125374.27
CENTRAL,2025-01-23,281331.25,28406705.52
CENTRAL,2025-01-24,224278.09,28630983.61
CENTRAL,2025-01-26,14369.45,28645353.06
CENTRAL,2025-01-29,76985.6,28722338.66
CENTRAL,2025-01-31,422299.11,29144637.78
CENTRAL,2025-02-01,283984.24,29428622.02
CENTRAL,2025-02-03,68867.27,29497489.3
CENTRAL,2025-02-06,97453.16,29594942.45
CENTRAL,2025-02-07,426671.9,30021614.35
CENTRAL,2025-02-09,-28108.76,29993505.59
CENTRAL,2025-02-10,238782.77,30232288.37
CENTRAL,2025-02-11,181777.77,30414066.14
