category,product_name,total_revenue,rank_in_category
Books,Maxime Non-Fiction Boo141,5529467.21,1
Books,Enim Non-Fiction Boo115,4781777.88,2
Books,Perspiciatis Comics Boo144,4536546.06,3
Books,Laborum Fiction Boo148,4533517.25,4
Books,Quos Comics Boo143,4190944.19,5
Books,Dolor Academic Boo121,4161722.34,6
Books,Ratione Comics Boo142,3997396.36,7
Books,Neque Fiction Boo136,3725150.77,8
Books,Ab Non-Fiction Boo112,3609421.46,9
Books,Recusandae Fiction Boo129,3309407.85,10
Books,Facilis Non-Fiction Boo126,3062374.86,11
Books,Explicabo Comics Boo125,2908628.21,12
Books,Reprehenderit Academic Boo124,2671752.24,13
Books,Totam Non-Fiction Boo123,2419479.33,14
Books,Quidem Fiction Boo127,2341041.15,15
Books,Corrupti Academic Boo120,2273133.95,16
Books,Harum Non-Fiction Boo132,2225821.21,17
Books,Quos Academic Boo138,2147059.41,18
Books,Nisi Academic Boo128,2085941.63,19
Books,Dolorum Comics Boo140,2072000.77,20
Books,Vero Comics Boo133,1823567.79,21
Books,Minus Comics Boo113,1737183.05,22
Books,Enim Comics Boo135,1628925.13,23
Books,Similique Academic Boo131,1625096.02,24
Books,Inventore Non-Fiction Boo146,1553034.01,25
Books,Ipsam Academic Boo117,1447781.52,26
Books,Explicabo Non-Fiction Boo145,1220133.42,27
Books,Nemo Fiction Boo118,1041046.99,28
Books,Repellat Non-Fiction Boo147,979368.38,29
Books,Voluptas Fiction Boo116,874665.48,30
Books,Maiores Non-Fiction Boo130,812908.8,31
Books,Nobis Academic Boo122,801388.02,32
Books,Ullam Fiction Boo114,553049.13,33
Books,Magni Non-Fiction Boo119,486723.87,34
Books,Perspiciatis Fiction Boo139,348904.6,35
Books,Nam Comics Boo134,278378.35,36
Books,Quod Non-Fiction Boo137,180855.66,37
Clothing,Atque Women Clo45,3998844.01,1
Clothing,Consectetur Footwear Clo68,3944112.97,2
Clothing,Sint Footwear Clo62,3675982.09,3
Clothing,Quis Men Clo73,3386305.06,4
Clothing,Pariatur Women Clo61,3216078.17,5
Clothing,Cumque Men Clo67,3201880.43,6
Clothing,Doloremque Kids Clo39,3048741.17,7
Clothing,Eligendi Men Clo52,2904134.53,8
Clothing,Delectus Women Clo71,2888970.45,9
Clothing,Sapiente Women Clo63,2691554.68,10
Clothing,Rerum Footwear Clo44,2637971.49,11
Clothing,Unde Women Clo70,2535233.72,12
Clothing,Amet Women Clo64,2433794.43,13
Clothing,Sed Footwear Clo72,2397836.52,14
Clothing,Quae Footwear Clo54,2358969.29,15
Clothing,Quibusdam Kids Clo65,2205542.34,16
Clothing,Laboriosam Men Clo41,2001889.27,17
Clothing,Molestiae Men Clo48,1800275.25,18
Clothing,Vitae Footwear Clo40,1699813.34,19
Clothing,Quasi Kids Clo53,1646477.86,20
Clothing,Saepe Men Clo43,1588816.57,21
