customer_id,order_date,previous_order_date,days_gap,risk_flag
1.0,2024-12-04,,,At Risk
1.0,2024-12-09,2024-12-04,5.0,At Risk
1.0,2025-01-13,2024-12-09,35.0,At Risk
1.0,2025-01-14,2025-01-13,1.0,At Risk
1.0,2025-02-03,2025-01-14,20.0,At Risk
1.0,2025-02-06,2025-02-03,3.0,At Risk
1.0,2025-06-13,2025-02-06,127.0,At Risk
2.0,2024-01-14,,,At Risk
2.0,2024-08-05,2024-01-14,204.0,At Risk
2.0,2025-01-21,2024-08-05,169.0,At Risk
2.0,2025-04-24,2025-01-21,93.0,At Risk
4.0,2024-10-07,,,At Risk
4.0,2025-02-22,2024-10-07,138.0,At Risk
4.0,2025-04-30,2025-02-22,67.0,At Risk
4.0,2025-05-07,2025-04-30,7.0,At Risk
5.0,2024-05-21,,,At Risk
5.0,2024-10-03,2024-05-21,135.0,At Risk
5.0,2025-01-01,2024-10-03,90.0,At Risk
6.0,2024-12-26,,,Healthy
6.0,2025-01-09,2024-12-26,14.0,Healthy
6.0,2025-01-18,2025-01-09,9.0,Healthy
7.0,2024-08-22,,,At Risk
7.0,2024-12-15,2024-08-22,115.0,At Risk
7.0,2025-01-23,2024-12-15,39.0,At Risk
7.0,2025-03-24,2025-01-23,60.0,At Risk
9.0,2025-02-27,,,At Risk
9.0,2025-05-22,2025-02-27,84.0,At Risk
9.0,2025-05-26,2025-05-22,4.0,At Risk
10.0,2024-01-12,,,At Risk
10.0,2024-03-24,2024-01-12,72.0,At Risk
10.0,2024-05-14,2024-03-24,51.0,At Risk
10.0,2024-09-18,2024-05-14,127.0,At Risk
10.0,2024-10-09,2024-09-18,21.0,At Risk
10.0,2025-01-24,2024-10-09,107.0,At Risk
10.0,2025-06-07,2025-01-24,134.0,At Risk
11.0,2024-02-23,,,At Risk
11.0,2024-08-20,2024-02-23,179.0,At Risk
11.0,2025-01-05,2024-08-20,138.0,At Risk
11.0,2025-02-03,2025-01-05,29.0,At Risk
12.0,2025-01-06,,,At Risk
12.0,2025-05-08,2025-01-06,122.0,At Risk
13.0,2025-03-11,,,Healthy
13.0,2025-04-12,2025-03-11,32.0,Healthy
13.0,2025-04-27,2025-04-12,15.0,Healthy
