year_month,revenue_category,customer_count
2023-07,High,3
2023-08,High,3
2023-09,High,16
2023-10,High,20
2023-10,Low,1
2023-11,High,17
2023-11,Medium,1
2023-12,High,29
2024-01,High,26
2024-02,High,30
2024-02,Medium,2
2024-03,High,31
2024-03,Low,1
2024-04,High,39
2024-04,Low,2
2024-05,High,46
2024-05,Low,1
2024-05,Medium,1
2024-06,High,43
2024-06,Low,1
2024-06,Medium,1
2024-07,High,50
2024-07,Low,2
2024-07,Medium,1
2024-08,High,46
2024-08,Low,4
2024-08,Medium,1
2024-09,High,61
2024-09,Low,1
2024-09,Medium,1
2024-10,High,86
2024-10,Low,2
2024-10,Medium,1
2024-11,High,86
2024-11,Low,2
2024-12,High,86
2024-12,Low,4
2024-12,Medium,1
2025-01,High,113
2025-01,Low,4
2025-01,Medium,1
2025-02,High,112
2025-02,Low,6
2025-02,Medium,2
2025-03,High,125
2025-03,Low,8
2025-03,Medium,1
2025-04,High,151
2025-04,Low,2
2025-04,Medium,1
2025-05,High,161
2025-05,Low,2
2025-05,Medium,6
2025-06,High,193
2025-06,Low,3
