year,month,revenue,prev_year_revenue,yoy_growth_percent
2023,6,848219.86,,
2023,7,724978.07,,
2023,8,959303.61,,
2023,9,3293751.8,,
2023,10,3516623.06,,
2023,11,3331510.47,,
2023,12,6673997.92,,
2024,1,4355611.66,,
2024,2,5478482.34,,
2024,3,7077723.41,,
2024,4,6569040.32,,
2024,5,6673787.89,,
2024,6,7856135.81,848219.86,826.19
2024,7,8722737.79,724978.07,1103.17
2024,8,7868138.56,959303.61,720.19
2024,9,12671171.98,3293751.8,284.7
2024,10,15021882.02,3516623.06,327.17
2024,11,13131947.74,3331510.47,294.17
2024,12,14739642.92,6673997.92,120.85
2025,1,21211601.96,4355611.66,386.99
2025,2,19220905.61,5478482.34,250.84
2025,3,23705783.41,7077723.41,234.94
2025,4,27398584.29,6569040.32,317.09
2025,5,32232684.49,6673787.89,382.97
2025,6,50761498.93,7856135.81,546.14
