customer_id,first_category,last_category,category_shift
1.0,Books,Home,Yes
2.0,Books,Electronics,Yes
3.0,Books,Books,No
4.0,Books,Clothing,Yes
5.0,Clothing,Books,Yes
6.0,Clothing,Home,Yes
7.0,Clothing,Clothing,No
8.0,Clothing,Clothing,No
9.0,Clothing,Home,Yes
10.0,Books,Electronics,Yes
11.0,Clothing,Clothing,No
12.0,Clothing,Electronics,Yes
13.0,Clothing,Electronics,Yes
14.0,Clothing,Clothing,No
15.0,Clothing,Clothing,No
16.0,Books,Books,No
17.0,Books,Clothing,Yes
18.0,Electronics,Books,Yes
19.0,Home,Clothing,Yes
20.0,Home,Electronics,Yes
21.0,Clothing,Books,Yes
22.0,Home,Electronics,Yes
23.0,Home,Home,No
24.0,Books,Home,Yes
25.0,Home,Clothing,Yes
26.0,Electronics,Home,Yes
27.0,Books,Electronics,Yes
28.0,Electronics,Home,Yes
29.0,Home,Electronics,Yes
30.0,Home,Books,Yes
31.0,Home,Books,Yes
32.0,Books,Home,Yes
33.0,Electronics,Books,Yes
34.0,Clothing,Electronics,Yes
35.0,Home,Clothing,Yes
36.0,Books,Home,Yes
37.0,Clothing,Clothing,No
38.0,Books,Books,No
39.0,Electronics,Electronics,No
40.0,Books,Clothing,Yes
41.0,Books,Books,No
42.0,Books,Electronics,Yes
43.0,Home,Books,Yes
44.0,Home,Electronics,Yes
45.0,Books,Home,Yes
46.0,Home,Electronics,Yes
47.0,Home,Electronics,Yes
48.0,Clothing,Clothing,No
49.0,Books,Books,No
50.0,Home,Home,No
51.0,Clothing,Clothing,No
52.0,Home,Home,No
53.0,Clothing,Electronics,Yes
54.0,Electronics,Home,Yes
55.0,Electronics,Clothing,Yes
56.0,Books,Home,Yes
57.0,Clothing,Clothing,No
58.0,Books,Books,No
59.0,Clothing,Clothing,No
60.0,Books,Clothing,Yes
61.0,Home,Books,Yes
62.0,Home,Electronics,Yes
63.0,Electronics,Home,Yes
64.0,Home,Home,No
65.0,Electronics,Electronics,No
66.0,Clothing,Books,Yes
67.0,Clothing,Home,Yes
68.0,Electronics,Home,Yes
69.0,Home,Books,Yes
70.0,Home,Books,Yes
71.0,Clothing,Books,Yes
72.0,Electronics,Home,Yes
73.0,Clothing,Electronics,Yes
74.0,Clothing,Home,Yes
75.0,Books,Home,Yes
77.0,Electronics,Electronics,No
78.0,Home,Home,No
79.0,Electronics,Books,Yes
80.0,Books,Electronics,Yes
81.0,Books,Clothing,Yes
82.0,Electronics,Clothing,Yes
83.0,Home,Home,No
84.0,Books,Electronics,Yes
85.0,Home,Clothing,Yes
86.0,Books,Electronics,Yes
87.0,Clothing,Books,Yes
88.0,Electronics,Electronics,No
89.0,Books,Clothing,Yes
90.0,Books,Books,No
91.0,Books,Electronics,Yes
92.0,Books,Electronics,Yes
93.0,Home,Home,No
94.0,Electronics,Electronics,No
95.0,Home,Clothing,Yes
96.0,Home,Clothing,Yes
97.0,Clothing,Books,Yes
98.0,Clothing,Books,Yes
99.0,Books,Electronics,Yes
100.0,Electronics,Electronics,No
101.0,Electronics,Electronics,No
102.0,Books,Home,Yes
103.0,Home,Home,No
104.0,Clothing,Electronics,Yes
105.0,Clothing,Books,Yes
106.0,Books,Home,Yes
107.0,Clothing,Home,Yes
108.0,Electronics,Home,Yes
109.0,Home,Books,Yes
110.0,Home,Home,No
111.0,Electronics,Clothing,Yes
112.0,Electronics,Books,Yes
113.0,Clothing,Clothing,No
114.0,Clothing,Clothing,No
