customer_id,revenue,cumulative_revenue,cumulative_percent
87.0,1478012.24,1478012.24,0.51
352.0,1463296.04,2941308.28,1.02
451.0,1454531.58,4395839.86,1.52
346.0,1439592.22,5835432.08,2.02
331.0,1396853.13,7232285.21,2.5
46.0,1360864.84,8593150.05,2.97
455.0,1321354.07,9914504.12,3.43
37.0,1308576.0,11223080.12,3.88
158.0,1269491.57,12492571.69,4.32
121.0,1256135.97,13748707.67,4.76
110.0,1243614.19,14992321.86,5.19
500.0,1241901.41,16234223.27,5.62
41.0,1229846.04,17464069.31,6.04
152.0,1228142.25,18692211.56,6.47
546.0,1214952.44,19907164.0,6.89
554.0,1197914.37,21105078.38,7.3
465.0,1191177.49,22296255.87,7.71
544.0,1167807.19,23464063.06,8.12
67.0,1157887.16,24621950.22,8.52
75.0,1150766.39,25772716.61,8.92
166.0,1128058.26,26900774.86,9.31
560.0,1120458.51,28021233.38,9.69
580.0,1115293.47,29136526.85,10.08
101.0,1100309.84,30236836.69,10.46
404.0,1090532.28,31327368.97,10.84
308.0,1082615.55,32409984.52,11.21
468.0,1077321.04,33487305.55,11.58
474.0,1075132.56,34562438.11,11.96
587.0,1069949.44,35632387.55,12.33
79.0,1068593.15,36700980.7,12.7
588.0,1049661.29,37750641.99,13.06
265.0,1043995.47,38794637.46,13.42
312.0,1043900.37,39838537.82,13.78
589.0,1037986.86,40876524.69,14.14
549.0,1032894.39,41909419.08,14.5
374.0,1032749.31,42942168.39,14.85
111.0,1020674.66,43962843.05,15.21
532.0,1015953.1,44978796.15,15.56
521.0,1015291.53,45994087.68,15.91
382.0,1011132.96,47005220.64,16.26
488.0,1001767.6,48006988.23,16.61
333.0,997153.75,49004141.98,16.95
318.0,996757.68,50000899.66,17.3
443.0,981709.41,50982609.08,17.64
169.0,979189.73,51961798.81,17.97
577.0,973987.52,52935786.33,18.31
228.0,970516.08,53906302.41,18.65
367.0,970349.04,54876651.46,18.98
423.0,968000.69,55844652.15,19.32
422.0,967941.65,56812593.79,19.65
212.0,955535.38,57768129.18,19.98
109.0,953580.54,58721709.72,20.31
383.0,938155.75,59659865.47,20.64
598.0,933888.61,60593754.08,20.96
146.0,931424.92,61525179.0,21.28
58.0,919773.33,62444952.33,21.6
434.0,918652.41,63363604.73,21.92
583.0,913771.07,64277375.8,22.23
177.0,908713.95,65186089.75,22.55
309.0,900469.89,66086559.64,22.86
230.0,888884.15,66975443.79,23.17
143.0,888374.92,67863818.71,23.48
1.0,887116.03,68750934.73,23.78
530.0,884836.11,69635770.85,24.09
189.0,883238.88,70519009.73,24.39
421.0,879678.76,71398688.48,24.7
547.0,876079.99,72274768.47,25.0
453.0,866572.15,73141340.62,25.3
171.0,862975.0,74004315.62,25.6
207.0,861014.31,74865329.93,25.9
150.0,860100.78,75725430.71,26.2
502.0,854687.95,76580118.66,26.49
505.0,848520.67,77428639.33,26.78
270.0,848134.16,78276773.49,27.08
487.0,840305.75,79117079.24,27.37
364.0,829514.23,79946593.47,27.66
86.0,826858.04,80773451.51,27.94
456.0,825352.55,81598804.06,28.23
394.0,822677.71,82421481.78,28.51
548.0,821934.74,83243416.51,28.8
56.0,810441.43,84053857.94,29.08
128.0,806254.02,84860111.97,29.36
321.0,796704.45,85656816.42,29.63
329.0,795109.78,86451926.2,29.91
147.0,794626.22,87246552.42,30.18
522.0,793791.93,88040344.34,30.46
504.0,787967.16,88828311.5,30.73
63.0,787263.8,89615575.3,31.0
130.0,786302.33,90401877.63,31.27
100.0,785259.09,91187136.72,31.54
567.0,783713.62,91970850.34,31.81
26.0,781752.56,92752602.9,32.09
21.0,780267.84,93532870.74,32.36
102.0,779584.12,94312454.86,32.62
439.0,774573.97,95087028.83,32.89
442.0,772684.98,95859713.81,33.16
425.0,769662.78,96629376.58,33.43
323.0,767072.04,97396448.62,33.69
131.0,766956.2,98163404.82,33.96
485.0,760532.39,98923937.21,34.22
255.0,751826.05,99675763.26,34.48
469.0,750482.84,100426246.1,34.74
433.0,750431.2,101176677.3,35.0
572.0,750377.2,101927054.5,35.26
392.0,747652.54,102674707.04,35.52
599.0,738266.35,103412973.39,35.77
11.0,735451.55,104148424.94,36.03
563.0,735108.72,104883533.66,36.28
234.0,733840.39,105617374.04,36.54
195.0,731601.03,106348975.08,36.79
232.0,728285.6,107077260.68,37.04
576.0,726806.48,107804067.16,37.29
238.0,726190.6,108530257.76,37.54
380.0,716807.56,109247065.32,37.79
99.0,715743.23,109962808.55,38.04
42.0,714941.88,110677750.42,38.29
495.0,714720.38,111392470.8,38.53
340.0,714450.48,112106921.29,38.78
123.0,714046.6,112820967.89,39.03
437.0,708930.76,113529898.65,39.27
106.0,707359.67,114237258.32,39.52
351.0,706949.12,114944207.44,39.76
285.0,705443.26,115649650.71,40.01
573.0,704681.95,116354332.65,40.25
450.0,701263.04,117055595.69,40.49
515.0,700905.74,117756501.44,40.73
39.0,697906.22,118454407.66,40.98
480.0,697767.3,119152174.96,41.22
262.0,693850.86,119846025.81,41.46
302.0,693656.19,120539682.01,41.7
449.0,690971.45,121230653.46,41.94
135.0,690433.58,121921087.04,42.18
445.0,690296.04,122611383.08,42.41
551.0,689993.82,123301376.91,42.65
266.0,689160.97,123990537.88,42.89
426.0,688325.87,124678863.75,43.13
133.0,684092.29,125362956.04,43.37
93.0,681988.65,126044944.68,43.6
464.0,680504.53,126725449.21,43.84
176.0,680025.2,127405474.41,44.07
68.0,676628.18,128082102.59,44.31
112.0,673259.75,128755362.34,44.54
208.0,670370.67,129425733.01,44.77
306.0,670093.0,130095826.01,45.0
292.0,661301.27,130757127.28,45.23
492.0,661264.65,131418391.93,45.46
105.0,660131.67,132078523.6,45.69
