cohort_month,month_offset,active_customers,cohort_customers,retention_rate_percent
2023-06,1,1,10,10.0
2023-06,2,2,10,20.0
2023-06,3,1,10,10.0
2023-07,0,2,24,8.33
2023-07,1,1,24,4.17
2023-07,2,7,24,29.17
2023-07,3,5,24,20.83
2023-08,1,5,26,19.23
2023-08,2,4,26,15.38
2023-08,3,4,26,15.38
2023-09,0,3,28,10.71
2023-09,1,7,28,25.0
2023-09,2,6,28,21.43
2023-09,3,3,28,10.71
2023-10,0,4,22,18.18
2023-10,1,5,22,22.73
2023-10,2,6,22,27.27
2023-10,3,5,22,22.73
2023-11,0,1,15,6.67
2023-11,1,3,15,20.0
2023-11,2,3,15,20.0
2023-11,3,4,15,26.67
2023-12,0,4,31,12.9
2023-12,1,6,31,19.35
2023-12,2,3,31,9.68
2023-12,3,6,31,19.35
2024-01,0,3,29,10.34
2024-01,1,4,29,13.79
2024-01,2,9,29,31.03
2024-01,3,6,29,20.69
2024-02,0,2,26,7.69
2024-02,1,1,26,3.85
2024-02,2,5,26,19.23
2024-02,3,3,26,11.54
2024-03,1,6,24,25.0
2024-03,2,1,24,4.17
2024-03,3,4,24,16.67
2024-04,1,5,20,25.0
2024-04,2,4,20,20.0
2024-04,3,3,20,15.0
2024-05,0,10,27,37.04
2024-05,1,5,27,18.52
2024-05,2,2,27,7.41
2024-05,3,7,27,25.93
2024-06,0,2,14,14.29
2024-06,1,4,14,28.57
2024-06,2,4,14,28.57
2024-06,3,1,14,7.14
2024-07,0,1,23,4.35
2024-07,1,5,23,21.74
2024-07,2,5,23,21.74
2024-07,3,10,23,43.48
2024-08,0,3,24,12.5
2024-08,1,5,24,20.83
2024-08,2,9,24,37.5
2024-08,3,7,24,29.17
2024-09,0,2,19,10.53
2024-09,1,6,19,31.58
2024-09,2,3,19,15.79
2024-09,3,5,19,26.32
2024-10,0,7,28,25.0
2024-10,1,11,28,39.29
2024-10,2,7,28,25.0
2024-10,3,11,28,39.29
2024-11,0,12,37,32.43
2024-11,1,13,37,35.14
2024-11,2,16,37,43.24
2024-11,3,11,37,29.73
2024-12,0,4,20,20.0
2024-12,1,9,20,45.0
2024-12,2,6,20,30.0
2024-12,3,8,20,40.0
2025-01,0,8,27,29.63
2025-01,1,11,27,40.74
2025-01,2,19,27,70.37
2025-01,3,14,27,51.85
2025-02,0,11,23,47.83
2025-02,1,13,23,56.52
2025-02,2,12,23,52.17
2025-02,3,17,23,73.91
2025-03,0,9,30,30.0
2025-03,1,19,30,63.33
2025-03,2,19,30,63.33
2025-03,3,17,30,56.67
2025-04,0,8,23,34.78
2025-04,1,18,23,78.26
2025-04,2,16,23,69.57
2025-05,0,13,19,68.42
2025-05,1,17,19,89.47
2025-06,0,31,31,100.0
