product_a,product_b,times_bought_together
Dignissimos Audio Ele9,Voluptatem Decor Hom90,7
Dignissimos Audio Ele9,Dolorum Comics Boo140,6
Doloremque Accessories Ele11,Dolorum Comics Boo140,6
Totam Non-Fiction Boo123,Reprehenderit Academic Boo124,6
Dolores Mobiles Ele28,Maxime Non-Fiction Boo141,5
Fuga Women Clo38,Delectus Footwear Clo49,5
Modi Decor Hom87,Totam Non-Fiction Boo123,5
Occaecati Accessories Ele24,Dolor Academic Boo121,5
Perspiciatis Accessories Ele27,Ducimus Accessories Ele34,5
Quaerat Laptops Ele37,Delectus Footwear Clo49,5
Quasi Decor Hom111,Ullam Fiction Boo114,5
Rem Audio Ele1,Perspiciatis Fiction Boo139,5
Soluta Laptops Ele35,Fuga Women Clo38,5
Suscipit Mobiles Ele5,Quaerat Laptops Ele37,5
Totam Non-Fiction Boo123,Quod Non-Fiction Boo137,5
Ab Non-Fiction Boo112,Maiores Non-Fiction Boo130,4
Amet Women Clo64,Totam Non-Fiction Boo123,4
Animi Audio Ele7,Maxime Non-Fiction Boo141,4
Animi Audio Ele7,Pariatur Women Clo61,4
Animi Audio Ele7,Sapiente Mobiles Ele31,4
Aspernatur Accessories Ele10,Ut Mobiles Ele20,4
Aspernatur Accessories Ele10,Voluptas Fiction Boo116,4
Atque Women Clo45,Totam Non-Fiction Boo123,4
Blanditiis Laptops Ele22,Corrupti Kids Clo50,4
Blanditiis Laptops Ele22,Modi Decor Hom87,4
